???:Average level,???,,,
???,2,3,5,??
15626,20,,,20
16576,,24.33,,24.33
16882,,22.33,,22.33
22490,,,34.4,34.4
24185,,26.67,,26.67
24361,,27.67,,27.67
27936,,10.33,,10.33
44211,,23.33,,23.33
64633,,16.67,,16.67
72143,,27,,27
76914,,2,,2
??,20,180.33,34.4,234.73
